id,title,slug,entities,category
13420,Ghanaian women have less financial decision-making power – Afrobarometer survey,ghanaian-women-have-less-financial-decision-making-power-afrobarometer-survey,"[""Ghanaian"",""United Nations Development Programme"",""Ghanaians""]",Other
13421,KCB rugby player Tony Onyango collapses and dies,kcb-rugby-player-tony-onyango-collapses-and-dies,"[""Homeboyz"",""KCB"",""Kenya Rugby Union"",""Kenyan"",""God"",""Impala"",""Strathmore Leos"",""Ngong"",""Kenya Sevens"",""Vodacom Cup"",""Simbas"",""Jamhuri Park"",""Ivory Coast"",""Jerome Paarwater"",""Marseille"",""France"",""Paul Treu"",""Maseno School""]",Sports
13422,"Aston Villa, Leicester City settle sexual-abuse claims",aston-villa-leicester-city-settle-sexual-abuse-claims,"[""Aston Villa"",""BBC"",""Victoria Derbyshire"",""Leicester City""]",Sports
13423,Prince William calls for 'strong bond' with Ireland after Brexit,prince-william-calls-for-strong-bond-with-ireland-after-brexit,"[""Prince William"",""Brexit"",""Ireland"",""EU"",""Dublin"",""Museum of Literature"",""UK"",""Irish Republic"",""Cambridge""]",Politics
13424,Nuclear industry says UK climate goal at risk,nuclear-industry-says-uk-climate-goal-at-risk,"[""Rishi Sunak"",""UK"",""Sizewell"",""Suffolk"",""BBC""]",Other
13425,Kent baby deaths: 'Hospital did not learn from mistakes',kent-baby-deaths-hospital-did-not-learn-from-mistakes-1,"[""Kent"",""New Romney""]",Health
13426,Dog walker finds West Suffolk Hospital patient records,dog-walker-finds-west-suffolk-hospital-patient-records,"[""Bury St Edmunds"",""West Suffolk Hospital"",""Trumpington Meadows"",""Cambridge"",""Information Commissioner's Office""]",Health
13427,Katy Perry is expecting a child with Orlando Bloom,katy-perry-is-expecting-a-child-with-orlando-bloom,"[""Russell Brand"",""Orlando Bloom"",""Katy Perry""]",Entertainment
13428,"Ronan, Dylan Farrow attack publisher Hachette over Woody Allen memoir",ronan-dylan-farrow-attack-publisher-hachette-over-woody-allen-memoir,"[""Little, Brown and Company"",""Grand Central"",""Mia Farrow"",""US"",""Harvey Weinstein"",""Hachette"",""Woody Allen"",""Ronan Farrow""]",Entertainment
13429,"Commons spends more than £800,000 on paying off former staff",commons-spends-more-than-pound-800-000-on-paying-off-former-staff,"[""House of Lords"",""PA Media"",""House of Commons""]",Politics
13430,Coronavirus: Major sponsors pull staff from attending Crufts,coronavirus-major-sponsors-pull-staff-from-attending-crufts,"[""Italy"",""Crufts"",""Kennel Club"",""National Exhibition Centre"",""Birmingham"",""Public Health England""]",Health
13432,"Workers in Hong Kong not satisfied with employers’ support measures during coronavirus crisis than their Singapore peers, survey finds",workers-in-hong-kong-not-satisfied-with-employers-support-measures-during-coronavirus-crisis-than-their-singapore-peers-survey-finds,"[""Asian"",""Singaporeans"",""Ruder Finn"",""Singapore"",""Hong Kong""]",Other
13435,Biden: Candidates might need Secret Service protection,biden-candidates-might-need-secret-service-protection,"[""Biden"",""Secret Service""]",Politics
13436,"Heard, girlfriend Butti share tender moment",heard-girlfriend-butti-share-tender-moment-1,"[""Amber Heard"",""LA"",""Aquaman"",""Us Weekly""]",Entertainment
13437,Kardashian shares snap where she is flashing her abs in bra top,kardashian-shares-snap-where-she-is-flashing-her-abs-in-bra-top,"[""Khloe Kardashian"",""Tristan Thompson"",""Kylie Jenner"",""Cleveland Cavaliers"",""Los Angeles"",""Cleveland"",""Ohio""]",Entertainment
13438,Alabama prisoner is set to die,alabama-prisoner-is-set-to-die,"[""Alabama"",""Kay Ivey"",""Birmingham"",""Martin Luther King III"",""NBC News"",""Martin Luther King Jr.""]",Law
13439,Principal demands that she pre-approve all girls' prom dresses,principal-demands-that-she-pre-approve-all-girls-prom-dresses,"[""Shreveport"",""KTAL"",""Louisiana"",""Southwood High School"",""NBC"",""NBC News""]",Other
13440,Missouri man dressed as Joker charged in terrorist threats,missouri-man-dressed-as-joker-charged-in-terrorist-threats,"[""Missouri"",""Joker"",""St. Louis"",""Batman"",""Richmond Heights"",""University City"",""Garnier"",""The Associated Press"",""Blueberry Hill"",""Delmar Loop""]",Law
13441,Employee charged in fatal shooting of Maryland Guardsman,employee-charged-in-fatal-shooting-of-maryland-guardsman,"[""NASA""]",Law
13442,Tennessee tornado victims died after 58 years of marriage,tennessee-tornado-victims-died-after-58-years-of-marriage,"[""Tennessee"",""Nashville"",""Tennessean"",""God""]",Other
13443,"MOH unveils plans for polyclinics in Bishan, Bidadari",moh-unveils-plans-for-polyclinics-in-bishan-bidadari,"[""Bishan"",""Lam Pin Min"",""Ministry of Health"",""Singapore"",""Parliament"",""Gan Kim Yong"",""SingHealth"",""Changi General Hospital"",""Alexandra Hospital""]",Health
13445,5 new COVID-19 cases in Singapore confirmed,5-new-covid-19-cases-in-singapore-confirmed,"[""Singapore"",""COVID-19"",""Ministry of Health"",""Raffles Institution""]",Health
13448,Malema welcomes decision to dissolve Tshwane Municipality,malema-welcomes-decision-to-dissolve-tshwane-municipality,"[""Julius Malema"",""City of Tshwane"",""EFF"",""ANC"",""Gauteng"",""David Makhura"",""Constitution"",""Johannesburg"",""Hammanskraal"",""Economic Freedom Fighters""]",Politics
13449,Parolee found with R9m worth of mandrax in the boot of his car,parolee-found-with-r-9-m-worth-of-mandrax-in-the-boot-of-his-car,"[""Mozambique"",""North Gauteng High Court"",""Pretoria""]",Other
13450,We will handle coronavirus - Ramaphosa,we-will-handle-coronavirus-ramaphosa,"[""Ramaphosa"",""SA"",""Cyril Ramaphosa"",""South Africa"",""Zweli Mkhize"",""Italy"",""KwaZulu-Natal"",""National Institute for Communicable Diseases""]",Health
13451,Ghana marks 63rd Independence Day celebration today,ghana-marks-63-rd-independence-day-celebration-today,"[""Ghana"",""Keith Rowley"",""Kumasi"",""Akufo-Addo"",""Baba Yara Sports stadium"",""Trinidad and Tobago"",""Accra"",""Tamale""]",Other
13452,US Wall Streeters explore new normal amid virus spin-out,us-wall-streeters-explore-new-normal-amid-virus-spin-out,"[""US"",""Citigroup Inc"",""Wells Fargo & Co"",""U.S."",""JPMorgan Chase & Co"",""Reuters"",""New York"",""Third Point LLC"",""Andreessen Horowitz"",""Silicon Valley"",""Manhattan"",""Wells Fargo"",""JPMorgan"",""United States""]",Business
13453,Asian shares ebbing-off as virus fears grow,asian-shares-ebbing-off-as-virus-fears-grow,"[""Fed"",""Asian"",""China"",""MSCI"",""Japan"",""Australian"",""Federal Reserve"",""Britain"",""Italy"",""France"",""United States"",""U.S."",""North America"",""Europe"",""Tokyo"",""Chinese"",""Wuhan"",""Bank of Canada"",""Japanese"",""Swiss"",""Asia-Pacific"",""Treasury"",""Asia"",""European Central Bank"",""OPEC""]",Business
13454,Coronavirus: Supermarkets called up for isolation supplies,coronavirus-supermarkets-called-up-for-isolation-supplies,"[""Matt Hancock"",""Reading"",""UK"",""Question Time"",""BBC One""]",Health
13455,Shropshire baby deaths: Trust will return £1m it received,shropshire-baby-deaths-trust-will-return-pound-1-m-it-received,"[""England"",""Shrewsbury"",""NHS"",""BBC"",""Shropshire""]",Other
13456,HSBC vacates several staff amid Coronavirus report,hsbc-vacates-several-staff-amid-coronavirus-report,"[""HSBC PLC"",""8 Canada Square"",""London"",""Europe"",""Reuters"",""HSBC"",""Canary Wharf"",""Morgan Stanley"",""Barclays"",""Citi"",""JPMorgan""]",Business
13457,Watchdog says Brexit Preparations cost government above £4bn,watchdog-says-brexit-preparations-cost-government-above-pound-4-bn,"[""Brexit"",""EU"",""UK"",""HM Revenue and Customs"",""Treasury"",""National Audit Office"",""Lib Dems""]",Politics
13458,Calls about children witnessing domestic abuse 'rise 25%',calls-about-children-witnessing-domestic-abuse-rise-25,"[""NSPCC""]",Health
13459,Government delays Budget infrastructure plan,government-delays-budget-infrastructure-plan,"[""Heathrow"",""BBC""]",Politics
13460,"Harry, Meghan attend London awards ceremony",harry-meghan-attend-london-awards-ceremony,"[""Harry"",""London"",""Armed Forces"",""Mansion House"",""Meghan""]",Politics
13461,"Virgin Media data breach affects 900,000 people",virgin-media-data-breach-affects-900-000-people,"[""US"",""Virgin Media"",""Liberty Global"",""Virgin Mobile"",""Information Commissioner's Office"",""Lutz Schüler""]",Other
13462,Weinstein moved to jail after having heart surgery,weinstein-moved-to-jail-after-having-heart-surgery,"[""Weinstein"",""Harvey Weinstein"",""New York City"",""Rikers Island"",""Arthur Aidala"",""Los Angeles""]",Law
13463,R. Kelly pleads not guilty to updated sex abuse charges,r-kelly-pleads-not-guilty-to-updated-sex-abuse-charges,"[""R. Kelly"",""Robert Kelly"",""Chicago"",""iPads"",""US"",""Minnesota""]",Entertainment
13464,Temtem closes deal that brings carpooling to North Africa,temtem-closes-deal-that-brings-carpooling-to-north-africa,"[""France"",""French"",""North Africa"",""Algerian"",""US"",""African continent"",""Algeria"",""Tunisia"",""Morocco""]",Business
13465,Coronavirus lately: UK businesses call for help from government,coronavirus-lately-uk-businesses-call-for-help-from-government,"[""UK"",""United Kingdom"",""Mike Cherry"",""Boris Johnson"",""Federation for Small Businesses"",""CBI"",""Edwin Morgan"",""Institute of Directors""]",Business
13466,WSIM drags NZ's Super Fund to court over scuffle,wsim-drags-n-zs-super-fund-to-court-over-scuffle,"[""Morocco"",""Kamal Fadel"",""New Zealand Super Fund"",""Western Sahara"",""New Zealand"",""UN"",""North Africa"",""Spanish"",""Sahrawi""]",Law
13467,"Malnutrition Hits 200,000 Children in Katsina",malnutrition-hits-200-000-children-in-katsina,"[""Katsina"",""Katsina State""]",Health
13468,Fear of coronavirus forced me to adjust birthday programme – Obasanjo,fear-of-coronavirus-forced-me-to-adjust-birthday-programme-obasanjo,"[""Obasanjo"",""Court"",""South Korea"",""Malaysia"",""Asian"",""Vietnam""]",Health
13469,Davido speaks on ‘$62m’ family private jet,davido-speaks-on-dollar-62-m-family-private-jet,"[""Omo Baba Olowo"",""Nigerian"",""Davido"",""Bombardier Global Express"",""Adedeji Adeleke""]",Entertainment
13470,Osinbanjo urges MSMES to Take Advantage of Incentives,osinbanjo-urges-msmes-to-take-advantage-of-incentives,"[""Yemi Osinbajo"",""Micro, Small and Medium Enterprises"",""Ebonyi State"",""Abakaliki"",""Federal Government"",""Finance Act 2020"",""Ease of Doing Business"",""Osinbanjo"",""MSMES""]",Business
13471,"Soldiers petition Buhari, Buratai over alleged embezzlement",soldiers-petition-buhari-buratai-over-alleged-embezzlement,"[""Buratai"",""Buhari"",""N12""]",Other
13473,Man commits suicide over broken marriage,man-commits-suicide-over-broken-marriage,"[""Ortom"",""Anambra State""]",Other
13474,Regional security: Fani-Kayode welcomes S’South govs,regional-security-fani-kayode-welcomes-s-south-govs-1,"[""Obasanjo"",""South West"",""Fani-Kayode"",""Femi Fani-Kayode"",""Nigerian""]",Politics
13475,"Police uncover baby factory, rescue 12 in Ogun",police-uncover-baby-factory-rescue-12-in-ogun,"[""Ogun"",""Obafemi Owode"",""Commissioner of Police"",""State Criminal Investigation and Intelligence Department""]",Other
13476,Coronavirus: Lagos places three under isolation,coronavirus-lagos-places-three-under-isolation,"[""Lagos"",""Lagos State"",""Cronavirus""]",Health
13477,Hudgens shows off new tattoo of nude 'divine feminine angel',hudgens-shows-off-new-tattoo-of-nude-divine-feminine-angel,"[""Vanessa Hudgens"",""Hudgens"",""Austin Butler"",""Los Angeles"",""High School Musical""]",Entertainment
13478,Banks hosts launch party for Nine West's 2020 Innovators campaign,banks-hosts-launch-party-for-nine-wests-2020-innovators-campaign,"[""Banks"",""Tyra Banks"",""Nine West"",""Hervé Léger"",""West Hollywood""]",Entertainment
13479,Man gets 30 days for in-store stunt captured on viral video,man-gets-30-days-for-in-store-stunt-captured-on-viral-video,"[""Beaumont"",""NBC"",""Blue Bell"",""Jefferson County"",""Walmart"",""Texas""]",Law
13480,Sports gambler accused of sending threatening messages,sports-gambler-accused-of-sending-threatening-messages,"[""Northern California"",""Julian Edelman"",""New England Patriots"",""Rob Gronkowski"",""FBI"",""New York"",""Florida"",""Tampa"",""Los Angeles"",""Germany"",""Sweden""]",Sports
13481,Taylor Swift donates $1 million to Tennessee tornado relief,taylor-swift-donates-dollar-1-million-to-tennessee-tornado-relief,"[""National Weather Service"",""Putnam County"",""EF"",""Nashville"",""Tennessee"",""Middle Tennessee"",""Taylor Swift"",""Tree Paine"",""United States"",""Alabama"",""Lee County"",""NBC News""]",Other
13482,JP Morgan Chase CEO Dimon recovering from emergency heart surgery,jp-morgan-chase-ceo-dimon-recovering-from-emergency-heart-surgery,"[""Dimon"",""Jamie Dimon"",""JP Morgan"",""Mayo Clinic"",""Daniel Pinto"",""JP Morgan Chase""]",Health
13483,Missing Idaho kids: Lori Vallow due in court,missing-idaho-kids-lori-vallow-due-in-court,"[""Yellowstone National Park"",""Idaho"",""Yellowstone"",""FBI"",""Alex Cox"",""Rexburg"",""Hawaii"",""Ford F-150"",""Arizona"",""The Associated Press""]",Law
13484,University of Kentucky bans fan from all future games,university-of-kentucky-bans-fan-from-all-future-games,"[""Wildcats"",""Lexington"",""Mitch Barnhart"",""University of Kentucky"",""Kentucky"",""Rupp Arena""]",Education/Career
13485,Federal appeals court blocks third-country asylum rule,federal-appeals-court-blocks-third-country-asylum-rule,"[""San Francisco"",""9th U.S. Circuit Court of Appeals"",""U.S."",""Trump""]",Law
13486,Zimbabwe: Prophet Rapes 19-year-old girl...claims Holy Spirit demands for s*x.,zimbabwe-prophet-rapes-19-year-old-girl-claims-holy-spirit-demands-for-s-x,"[""Bulawayo"",""Zimbabwe""]",Relationships
13488,Israel begins restrictions on visitors from 5 European nations,israel-begins-restrictions-on-visitors-from-5-european-nations,"[""Switzerland"",""Israelis"",""Israel"",""Israel Police"",""European"",""Germany"",""Austria"",""France"",""Spain""]",Politics
13489,Former Nazi camp guard to be deported,former-nazi-camp-guard-to-be-deported,"[""German"",""Memphis"",""Tennessee"",""Meppen"",""Neuengamme"",""Immigration and Customs Enforcement"",""US"",""Nazi"",""US Department of Justice"",""New York City""]",Other
13490,Kenya Open postponed,kenya-open-postponed,"[""Doha Qatar"",""Absa"",""Karen Country Club"",""Kenya Open Golf Limited"",""Kenyan"",""COVID-19"",""SuperSport"",""Paul Carrigill"",""Hero Indian Open"",""Qatar Masters"",""Maybank"",""Texas"",""Austin"",""Nairobi"",""India"",""New Delhi""]",Sports
13491,Ousting Netanyahu may turn out to be Gantz’s biggest mistake,ousting-netanyahu-may-turn-out-to-be-gantzs-biggest-mistake,"[""Ahmad Tibi"",""Jerusalem"",""Hebrew"",""Benjamin Netanyahu"",""Yisrael Beytenu"",""Netanyahu"",""Bloomberg"",""Knesset"",""Likud"",""Arab"",""Liberman"",""Blue and White""]",Politics
13492,Bloomberg releases new anti-Trump ad,bloomberg-releases-new-anti-trump-ad,"[""Democrats"",""Star Wars"",""Joe Biden"",""New York City"",""Bloomberg"",""Democratic"",""New York"",""Michael Bloomberg"",""Donald Trump""]",Politics
13493,Pelosi cites 'element of misogyny' after Warren drops out,pelosi-cites-element-of-misogyny-after-warren-drops-out,"[""Joe Biden"",""Pelosi"",""Warren"",""Nancy Pelosi"",""Elizabeth Warren"",""White House"",""Democrat"",""United States"",""California"",""Democratic"",""Bernie Sanders""]",Politics
13494,Trump loses another White House ‘original’,trump-loses-another-white-house-original,"[""Adam Kennedy"",""Donald Trump"",""Kennedy"",""Julia Hahn"",""Breitbart"",""Stephanie Grisham"",""Trump"",""White House"",""Brett Kavanaugh"",""Republican National Committee""]",Politics
13495,Romney says U.S. Senate Republican probe of Biden appears political,romney-says-u-s-senate-republican-probe-of-biden-appears-political,"[""Mitt Romney"",""Fox News"",""House of Representatives"",""Donald Trump"",""Joe Biden"",""Senate"",""Democratic"",""Hunter Biden"",""Ron Johnson"",""U.S."",""Burisma"",""FBI"",""Ukrainian"",""Romney"",""Republican"",""U.S. Senate"",""Biden""]",Politics
13496,Warren ends White House bid,warren-ends-white-house-bid,"[""White House"",""Warren"",""Biden"",""Sanders"",""Elizabeth Warren"",""Joe Biden"",""Bernie Sanders"",""Democratic"",""Donald Trump"",""U.S."",""Republican"",""Massachusetts"",""Cambridge""]",Politics
13497,Biden's comeback leaves Sanders little time to expand appeal,bidens-comeback-leaves-sanders-little-time-to-expand-appeal,"[""Bernie Sanders"",""Democratic"",""Donald Trump"",""Republican"",""California"",""Joe Biden"",""African Americans"",""Vermont"",""Texas"",""Sanders"",""Biden""]",Politics
13498,"Weeks ahead of Execution, Nirbhaya Case Convict Moves SC Seeking Restoration of His Legal Remedies",weeks-ahead-of-execution-nirbhaya-case-convict-moves-sc-seeking-restoration-of-his-legal-remedies,"[""Ministry of Home Affairs"",""Supreme Court"",""Vrinda Grover"",""Delhi"",""south Delhi"",""Tihar Jail""]",Law
13499,EU champions bold new climate law,eu-champions-bold-new-climate-law,"[""Brigitte Knopf"",""Berlin"",""Greta Thunberg"",""German Institute for International and Security Affairs"",""Poland"",""Europe"",""Mercator Research Institute on Global Commons and Climate Change"",""UK"",""Glasgow"",""United Nations"",""EU"",""European Commission"",""European Union"",""Ursula von der Leyen"",""Brussels"",""Oliver Geden""]",Law
13500,We may be on the brink of a coronavirus pandemic. Here’s what that means,we-may-be-on-the-brink-of-a-coronavirus-pandemic-heres-what-that-means,"[""Canada"",""World Health Organization"",""China"",""South America"",""Antarctica"",""COVID-19"",""South Korea"",""Tedros Adhanom Ghebreyesus"",""Spanish"",""Michael Osterholm"",""Minneapolis"",""University of Minnesota"",""United States""]",Health
13501,Some ‘super puff’ exoplanets may actually be ringed worlds like Saturn,some-super-puff-exoplanets-may-actually-be-ringed-worlds-like-saturn,"[""Calif"",""Pasadena"",""Astronomical Journal"",""Caltech"",""Saturns"",""Kepler 51"",""James Webb Space Telescope"",""NASA""]",Science
13502,"SONEB to connect SMEs, SMIs to free water supply",soneb-to-connect-sm-es-sm-is-to-free-water-supply,"[""Benin"",""SONEB"",""SMEs"",""West African""]",Business
13503,Officials halt Africa CEO forum over virus concern,officials-halt-africa-ceo-forum-over-virus-concern,"[""Air France"",""General Electric"",""Huawei"",""Mastercard"",""Societe Generale"",""Maersk"",""Cote d'Ivoire"",""Nigeria"",""Senegal"",""Africa"",""West Africa"",""Europe"",""United States"",""Asia"",""Abidjan"",""Ivory Coast"",""French"",""Cote D'Ivoire"",""World Bank"",""Washington"",""Senegalese"",""sub-Saharan African""]",Business
13504,Marsh calls out impact of COVID-19 on marine sector,marsh-calls-out-impact-of-covid-19-on-marine-sector,"[""New Zealand"",""China"",""Bloomberg"",""West African"",""Latin American""]",Travel
13505,Solskjaer hopes Sunday's Manchester derby is classic,solskjaer-hopes-sundays-manchester-derby-is-classic,"[""Solskjaer"",""Ole Gunnar Solskjaer"",""Manchester"",""Champions League"",""Old Trafford"",""Bernabeu"",""United"",""City"",""Premier League"",""Etihad"",""Pep Guardiola"",""Real Madrid""]",Sports
13506,Moyes wants League Cup replaced with British Cup,moyes-wants-league-cup-replaced-with-british-cup,"[""David Moyes"",""West Ham"",""Moyes"",""Aleksander Ceferin"",""UEFA"",""FIFA"",""The Times"",""British""]",Sports
13507,Moyes says Everton missed Arteta when he was sold to Arsenal,moyes-says-everton-missed-arteta-when-he-was-sold-to-arsenal,"[""Mikel Arteta"",""David Moyes"",""Everton"",""Arsenal"",""Moyes"",""Arteta"",""West Ham"",""Premier League"",""Southampton""]",Sports
13508,Villa midfielder close to return after ankle injury- Smith,villa-midfielder-close-to-return-after-ankle-injury-smith,"[""John McGinn"",""Aston Villa"",""Dean Smith"",""Premier League"",""Scotland"",""Chelsea"",""Leicester"",""Southampton"",""Villa Park"",""King Power Stadium"",""Brendan"",""Manchester City""]",Sports
13509,Roy Keane in Sky Sports studio for Manchester derby,roy-keane-in-sky-sports-studio-for-manchester-derby,"[""Roy Keane"",""Sky Sports"",""Man United"",""Man City"",""Manchester City"",""Old Trafford"",""City"",""Ole Gunnar Solskjaer"",""Champions League"",""Pep Guardiola"",""Etihad Stadium"",""Real Madrid"",""Gary Neville"",""Micah Richards"",""Jamie Redknapp"",""Chelsea"",""Premier League"",""Laura Woods"",""Everton"",""European"",""Stamford Bridge"",""Bill Leslie"",""Frank Lampard"",""Alan Smith""]",Sports
13510,Alisson to miss Atletico Madrid clash,alisson-to-miss-atletico-madrid-clash,"[""Alisson"",""Liverpool"",""Atletico Madrid"",""Champions League"",""Chelsea"",""Brazil"",""Klopp"",""Premier League"",""Bournemouth"",""Anfield""]",Sports
13511,Mourinho says Dier will face Burnley after fan confrontation,mourinho-says-dier-will-face-burnley-after-fan-confrontation,"[""Eric Dier"",""Tottenham"",""Jose Mourinho"",""Mourinho"",""Spurs"",""Burnley"",""England"",""Norwich"",""FA""]",Sports
13512,Henderson: Howe praises Liverpool captain's leadership,henderson-howe-praises-liverpool-captains-leadership,"[""Jordan Henderson"",""Eddie Howe"",""Liverpool"",""Bournemouth"",""Jurgen Klopp"",""Anfield"",""Champions League"",""Premier League"",""Atletico Madrid""]",Sports
13513,United to investigate abuse aimed at Lingard after FA Cup win,united-to-investigate-abuse-aimed-at-lingard-after-fa-cup-win,"[""Jesse Lingard"",""Manchester United"",""United"",""Lingard"",""Ole Gunnar Solskjaer"",""Pride Park""]",Sports
13514,Hodgson signs one-year Crystal Palace contract extension,hodgson-signs-one-year-crystal-palace-contract-extension,"[""Roy Hodgson"",""Crystal Palace"",""Eagles"",""Premier League"",""Watford"",""Croydon"",""Steve Parish""]",Sports
13515,"Fernandes, Aubameyang among PL Player of the Month nominees",fernandes-aubameyang-among-pl-player-of-the-month-nominees,"[""Pierre-Emerick Aubameyang"",""PL Player of the Month"",""Premier League"",""Tottenham"",""Bournemouth"",""Wolves"",""Burnley"",""Everton"",""Carlo Ancelotti"",""Arsenal"",""Chelsea"",""England"",""Old Trafford"",""Bruno Fernandes"",""Dominic Calvert-Lewin"",""Nick Pope"",""Matt Doherty"",""Marcos Alonso"",""Manchester United""]",Sports
13516,"Shelvey, Ritchie sign Newcastle contract extensions",shelvey-ritchie-sign-newcastle-contract-extensions,"[""Premier League"",""Jonjo Shelvey"",""Matt Ritchie"",""Newcastle"",""Shelvey"",""England"",""North East"",""Swansea"",""Scotland"",""Steve Bruce"",""Sean Longstaff"",""Bournemouth""]",Sports
13517,Murdered UCT student Uyinene's family suing SA Post Office,murdered-uct-student-uyinenes-family-suing-sa-post-office,"[""UCT"",""Cape Town"",""SABC"",""SA Post Office"",""Botha""]",Law
13518,"18 people quarantined, 300 tested for coronavirus -Mkhize",18-people-quarantined-300-tested-for-coronavirus-mkhize,"[""National Institute for Communicable Diseases"",""KwaZulu-Natal"",""Zweli Mkhize"",""Hilton"",""Dubai"",""South African""]",Health
13519,Maimane calls on South Africans to join his civic movement,maimane-calls-on-south-africans-to-join-his-civic-movement,"[""DA"",""Maimane"",""South Africans"",""Mmusi Maimane"",""Herman Mashaba"",""Johannesburg"",""Jonathan Moakes""]",Politics
13520,Police official still in coma after chopper crash in Laguna,police-official-still-in-coma-after-chopper-crash-in-laguna,"[""Philippine National Police"",""Archie Gamboa"",""Laguna"",""San Pedro City"",""Biñan"",""Bell 429"",""ABS-CBN News""]",Other
13521,Philippines' new coronavirus cases now at 5,philippines-new-coronavirus-cases-now-at-5,"[""Philippines"",""Francisco Duque III"",""Japan""]",Health
13522,DCOVID-19: Duque says foreigners may have caught virus elsewhere,dcovid-19-duque-says-foreigners-may-have-caught-virus-elsewhere,"[""World Health Organization"",""COVID-19"",""PH"",""Philippines"",""Francisco Duque"",""Cambodia"",""Taiwanese"",""Metro Manila"",""Vietnam"",""Thailand"",""Australian""]",Health
13523,Delhi resident tests positive for coronavirus,delhi-resident-tests-positive-for-coronavirus,"[""Delhi"",""India"",""Malaysia"",""Thailand"",""Uttam Nagar"",""Satyendar Jain"",""Manish Sisodia"",""Iran"",""Ghaziabad"",""Gurgaon"",""Kerala"",""Kendriya Vidyalayas""]",Health
13524,Rains dampen spirit of violence victims in relief camps,rains-dampen-spirit-of-violence-victims-in-relief-camps,"[""Delhi"",""Mustafabad"",""India Today""]",Other
13525,Yes Bank crisis: Kapoor says he has no clue,yes-bank-crisis-kapoor-says-he-has-no-clue,"[""Yes Bank"",""Rana Kapoor"",""Reserve Bank of India""]",Politics
13526,Zam Zam owner convicted for conspiracy,zam-zam-owner-convicted-for-conspiracy,"[""Singapore""]",Law
13527,"Singaporeans from 65 get free entry to public swimming pools, gyms",singaporeans-from-65-get-free-entry-to-public-swimming-pools-gyms,"[""Singaporeans"",""Ministry for Culture, Community and Youth"",""Ang Mo Kio"",""Yishun""]",Entertainment
13528,Two teenagers arrested over assault on Singaporean student,two-teenagers-arrested-over-assault-on-singaporean-student,"[""Singaporean"",""London"",""Metropolitan Police"",""Oxford Street"",""Tottenham Court Road"",""University College London"",""Emma Kirby""]",Law
13529,Kenya  face experienced Chile in Turkish Women Cup,kenya-face-experienced-chile-in-turkish-women-cup,"[""Turkey"",""Kenya"",""Chile"",""Turkish"",""Harambee Stars"",""Samuel Ouma"",""Alanya"",""Turky"",""South American"",""Ghana"",""Northern Ireland"",""African"",""David Owino""]",Sports
13530,Kenya suspends all international activities for 30 days,kenya-suspends-all-international-activities-for-30-days,"[""Kenya"",""Kenyan"",""Mutahi Kagwe"",""Middle East"",""Europe"",""Kenyans"",""East African"",""Italy"",""Iran"",""China""]",Health
13531,NZ Health chief announces fifth coronavirus case,nz-health-chief-announces-fifth-coronavirus-case,"[""New Zealand"",""Iran"",""World Health Organisation"",""China""]",Health
13532,Coronavirus: Government to announce stimulus package soon,coronavirus-government-to-announce-stimulus-package-soon,"[""Chartered Accountants Australia"",""Josh Frydenberg"",""Michael Croker"",""Anthony Albanese"",""COVID-19"",""Sydney"",""Hurstville"",""Sky News""]",Business
13533,Man arrested for killing another man in Western Sydney,man-arrested-for-killing-another-man-in-western-sydney,"[""Sydney"",""Seven Hills"",""Lethbridge Park""]",Law
13534,11-year-old Table Tennis star qualifies for Tokyo Olympics,11-year-old-table-tennis-star-qualifies-for-tokyo-olympics,"[""Syrian"",""Syrian Olympic Committee"",""Dimitrios Loundras"",""Lebanon"",""Amman"",""Athens""]",Sports
13535,Coronavirus: Man in 80s is second person to die of virus in UK,coronavirus-man-in-80-s-is-second-person-to-die-of-virus-in-uk,"[""UK"",""Japan"",""Diamond Princess"",""Chris Whitty"",""Mike Pence"",""Women's Six Nations"",""France"",""US"",""Scotland"",""Glasgow"",""San Francisco"",""Grand Princess"",""California""]",Health
13536,London fire: Oxford Street partially closed by shop blaze,london-fire-oxford-street-partially-closed-by-shop-blaze,"[""London"",""Oxford Street"",""London Fire Brigade"",""Mayfair"",""Lambeth"",""Soho"",""Kentish Town"",""Brigade"",""Euston""]",Other
13537,Coronavirus: Minister reassures public over food supplies,coronavirus-minister-reassures-public-over-food-supplies,"[""George Eustice"",""Matt Hancock""]",Health
13538,Tool fans 'may have been exposed to coronavirus' at show,tool-fans-may-have-been-exposed-to-coronavirus-at-show,"[""US"",""New Zealand"",""Spark Arena"",""Italy"",""NHS"",""Covid-19"",""Tool""]",Entertainment
13539,Sophia Loren: 'Female directors don't yell',sophia-loren-female-directors-dont-yell,"[""Sophia Loren"",""Vittorio De Sica"",""Netflix"",""Two Women"",""World War Two""]",Entertainment
13541,Connolly says Parkinson's means he won't perform stand-up again,connolly-says-parkinsons-means-he-wont-perform-stand-up-again,"[""Billy Connolly"",""Sky News"",""UK""]",Entertainment
13542,Queensland firefighters honoured after bushfire emergencies,queensland-firefighters-honoured-after-bushfire-emergencies,"[""Australian Defence Force"",""Queensland"",""Brisbane"",""Craig Crawford"",""Emergency Service"",""Rural Fire Service"",""Gold Coast""]",Other
13543,Coronavirus: Starbucks bans reusable cups to help tackle spread,coronavirus-starbucks-bans-reusable-cups-to-help-tackle-spread,"[""Starbucks"",""Great Western Railway"",""Europe"",""UK"",""China"",""US"",""Covid-19"",""LNER""]",Business
